======================================================================
ARM A: JOINT self-play, V2V prior, 312 updates (matches W5 budget)
======================================================================
  [jointV2V] steps=   75,264 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   75,472 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   75,680 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   75,888 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   76,096 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   76,304 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   76,512 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   76,720 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   76,928 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   77,136 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   77,344 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   77,552 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   77,760 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   77,968 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   78,176 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   78,384 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   78,592 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   78,800 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   79,008 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   79,216 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   79,424 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   79,632 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   79,840 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   80,048 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   80,256 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   80,464 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   80,672 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   80,880 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   81,088 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   81,296 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   81,504 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   81,712 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   81,920 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   82,128 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   82,336 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   82,544 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   82,752 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   82,960 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   83,168 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   83,376 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   83,584 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   83,792 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   84,000 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   84,208 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   84,416 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   84,624 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   84,832 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   85,040 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   85,248 ret=     0.0 coll=  0.0%
  [jointV2V] steps=   85,456 ret=   -20.0 coll=  2.0%
  [jointV2V] steps=   85,664 ret=  -130.0 coll= 13.0%
  [jointV2V] steps=   85,872 ret=  -130.0 coll= 13.0%
